Local Area Unemployment Statistics,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LASST350000000000003,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Area:,New Mexico,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,
State/Region/Division:,New Mexico,,,,,,,,,,,
Years:,2011 to 2021,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,7.4,7.2,7.1,7.1,7.1,7.1,7.2,7.3,7.3,7.3,7.3,7.2
2012,7.1,7.0,7.0,7.0,7.0,6.9,6.9,6.9,6.9,6.9,7.0,7.0
2013,7.0,7.0,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.8
2014,6.8,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.5,6.4,6.4,6.4
2015,6.5,6.6,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.5,6.5,6.5
2016,6.5,6.5,6.6,6.6,6.7,6.8,6.9,6.9,6.9,6.9,6.9,6.8
2017,6.7,6.6,6.5,6.4,6.2,6.1,6.0,5.9,5.8,5.7,5.6,5.4
2018,5.2,5.1,4.9,4.8,4.8,4.7,4.8,4.8,4.9,5.0,5.1,5.2
2019,5.2,5.1,5.1,5.1,5.0,5.0,5.0,5.0,5.0,4.9,4.9,5.0
2020,5.1,5.3,5.4,10.0,10.0,9.8,12.5,9.3,8.6,8.5,8.5,8.6
2021,8.7,8.3,,,,,,,,,,
